Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression (Baseline),0.9687,0.9436,0.973,0.9581,0.9976
MLP Neural Network (Advanced),0.9954,0.9942,0.9933,0.9937,0.9999
